aX,aY,aZ,gX,gY,gZ
0.917,0.382,0.073,-35.278,2.502,-30.212
0.982,0.494,0.131,-21.057,8.789,-28.259
1.074,0.617,0.124,-6.409,10.620,-22.583
1.134,0.591,0.178,10.376,4.272,-34.546
1.243,0.585,0.201,29.785,-3.052,-28.320
1.323,0.596,0.192,28.809,-11.475,-17.334
1.330,0.553,0.213,17.578,-19.470,-14.404
1.275,0.445,0.175,2.319,-25.879,-11.719
1.209,0.340,0.128,-12.390,-30.457,-2.930
1.139,0.272,0.086,-26.062,-30.823,7.385
1.084,0.212,0.079,-35.828,-27.893,10.986
1.045,0.204,0.131,-47.424,-24.414,9.216
1.037,0.231,0.174,-53.894,-21.606,5.981
1.024,0.252,0.242,-44.495,-15.381,3.418
0.984,0.338,0.167,-36.926,2.625,7.019
0.930,0.408,0.100,-25.208,7.446,9.949
0.893,0.434,0.116,-4.395,-3.174,6.409
0.898,0.411,0.107,17.578,-12.756,0.671
0.911,0.409,0.100,31.494,-16.418,-0.793
0.879,0.430,0.096,34.241,-16.602,5.981
0.872,0.422,0.098,31.311,-15.442,8.301
0.878,0.402,0.117,24.658,-14.404,4.822
0.887,0.370,0.139,19.165,-11.963,0.000
0.896,0.375,0.157,12.634,-8.667,-2.014
0.902,0.380,0.172,5.371,-6.287,-3.784
0.925,0.408,0.188,-0.854,-5.981,-6.836
0.938,0.419,0.210,-4.395,-7.385,-7.629
0.917,0.442,0.213,-5.859,-8.240,-5.188
0.888,0.425,0.164,-3.723,-6.836,-1.282
0.857,0.408,0.149,1.465,-11.963,1.831
0.867,0.367,0.135,6.958,-20.874,3.418
0.882,0.332,0.126,12.512,-25.024,4.578
0.880,0.344,0.138,17.944,-24.170,7.507
0.888,0.385,0.151,23.071,-22.888,7.080
0.905,0.406,0.152,24.475,-21.484,1.343
0.921,0.404,0.174,19.409,-19.104,-5.371
0.896,0.384,0.221,10.986,-15.076,-9.338
0.876,0.350,0.221,0.793,-11.108,-11.047
0.862,0.329,0.162,-6.470,-12.085,-12.085
