aX,aY,aZ,gX,gY,gZ
0.217,-0.243,0.166,355.408,152.954,103.760
0.175,-0.183,0.255,322.083,140.259,84.045
0.089,-0.068,0.328,301.208,134.338,69.519
-0.041,0.050,0.383,295.715,133.423,66.345
-0.146,0.187,0.358,302.795,140.198,75.500
-0.201,0.349,0.218,316.040,154.480,96.008
-0.198,0.468,0.027,324.768,176.392,124.939
-0.134,0.562,-0.168,324.402,202.271,152.527
-0.080,0.662,-0.406,316.040,226.624,174.072
-0.081,0.767,-0.644,299.255,252.075,189.148
-0.149,0.862,-0.912,274.902,277.893,193.359
-0.253,1.015,-1.156,247.803,293.579,184.143
-0.510,1.351,-1.383,226.074,291.748,174.622
-0.984,1.848,-1.667,241.882,272.095,180.420
-1.569,2.175,-2.306,307.800,236.816,200.623
-1.760,2.185,-3.228,372.681,181.458,203.308
-1.456,1.965,-4.000,345.520,114.990,161.926
-1.081,1.672,-4.000,180.420,59.937,88.379
-0.146,0.973,-4.000,-10.315,-13.550,24.170
0.494,0.267,-3.208,-123.840,-80.994,-12.756
0.628,0.123,-1.710,-220.642,-128.967,-36.438
0.642,-0.015,-0.052,-279.968,-144.653,-59.937
0.765,-0.081,1.002,-237.427,-128.906,-70.984
0.882,-0.360,1.465,-138.611,-101.563,-62.561
1.063,-0.651,1.125,-13.306,-61.707,-37.109
1.127,-0.791,0.446,77.515,-19.104,-7.446
1.149,-0.847,-0.151,110.718,15.930,13.245
0.976,-0.702,-0.493,105.530,39.795,25.024
0.709,-0.437,-0.684,89.844,48.523,29.480
0.405,-0.158,-0.854,82.520,51.147,30.518
0.134,0.098,-1.072,81.726,52.856,30.029
-0.055,0.282,-1.332,81.726,50.232,27.222
-0.124,0.357,-1.602,77.026,38.391,22.217
-0.112,0.324,-1.791,61.401,20.569,16.846
0.021,0.212,-1.830,35.034,2.563,16.357
0.150,0.133,-1.671,5.981,-8.911,23.132
0.233,0.119,-1.385,-21.362,-15.503,31.006
0.334,0.069,-1.063,-40.100,-20.325,35.645
0.474,-0.007,-0.808,-45.593,-23.499,37.476
0.614,-0.071,-0.641,-41.321,-24.048,35.828
0.733,-0.134,-0.550,-31.921,-21.973,27.527
0.793,-0.182,-0.513,-19.165,-19.287,14.709
0.784,-0.211,-0.535,-4.395,-16.785,1.770
0.744,-0.246,-0.595,9.521,-12.390,-7.996
0.654,-0.251,-0.689,20.264,-6.226,-13.550
0.550,-0.227,-0.806,27.588,-0.061,-13.855
0.454,-0.179,-0.933,30.579,5.554,-10.559
0.358,-0.105,-1.020,27.405,9.094,-5.798
0.288,-0.037,-1.084,20.081,10.376,-1.099
0.267,0.010,-1.116,11.353,8.972,4.395
0.285,0.022,-1.128,2.563,5.920,8.423
0.337,0.006,-1.108,-5.127,2.197,9.583
0.404,-0.027,-1.066,-10.681,-1.953,8.057
0.447,-0.049,-1.013,-13.489,-6.165,4.639
0.474,-0.070,-0.959,-13.916,-9.705,0.488
0.473,-0.077,-0.902,-13.794,-12.390,-2.258
0.476,-0.079,-0.868,-12.939,-12.878,-2.930
0.491,-0.079,-0.858,-12.634,-10.437,-1.831
0.502,-0.068,-0.874,-12.756,-7.446,0.183
0.500,-0.051,-0.896,-13.000,-4.944,1.404
0.483,-0.038,-0.919,-12.451,-4.089,0.793
0.449,-0.016,-0.948,-11.719,-4.700,-0.854
0.416,-0.002,-0.985,-11.780,-5.737,-2.686
0.391,0.007,-1.011,-13.306,-7.996,-4.883
0.400,-0.005,-1.029,-16.235,-10.986,-5.920
0.416,-0.013,-1.032,-20.691,-14.038,-5.859
0.443,-0.048,-1.014,-26.062,-16.968,-5.249
0.458,-0.078,-0.969,-30.518,-19.775,-4.211
0.459,-0.099,-0.926,-32.898,-21.362,-3.296
0.441,-0.106,-0.879,-33.569,-21.057,-2.869
0.423,-0.109,-0.857,-32.043,-19.714,-2.686
0.400,-0.102,-0.878,-28.381,-18.372,-2.075
0.381,-0.085,-0.928,-25.146,-17.700,-0.305
0.371,-0.060,-0.992,-23.865,-17.212,2.014
0.368,-0.035,-1.083,-24.170,-16.968,3.723
0.377,-0.008,-1.152,-29.236,-18.616,3.845
0.386,0.006,-1.192,-37.354,-22.400,1.099
0.392,0.022,-1.199,-46.814,-29.236,-3.479
0.388,0.028,-1.181,-56.763,-38.269,-9.033
0.385,0.030,-1.150,-65.247,-48.401,-14.404
0.375,0.021,-1.095,-71.350,-58.105,-19.043
0.371,0.002,-1.042,-74.646,-65.552,-22.888
0.365,-0.011,-1.005,-76.233,-70.862,-24.597
0.372,-0.034,-0.996,-77.393,-73.608,-24.536
0.393,-0.063,-0.995,-80.139,-73.547,-23.743
0.413,-0.083,-0.997,-85.510,-71.655,-23.376
0.422,-0.095,-1.000,-92.896,-69.885,-23.193
0.424,-0.113,-1.000,-100.464,-70.068,-24.170
0.427,-0.126,-0.996,-107.239,-72.327,-26.184
0.427,-0.141,-0.991,-113.708,-76.294,-28.748
0.422,-0.150,-0.981,-119.507,-82.581,-31.921
0.413,-0.174,-0.973,-123.840,-90.332,-35.156
0.434,-0.206,-0.983,-129.272,-98.877,-37.842

-0.264,0.399,2.014,265.259,169.434,1.648
-0.220,0.322,1.884,295.654,196.777,0.305
-0.170,0.223,1.713,320.068,208.984,4.395
-0.115,0.145,1.510,335.999,207.581,13.794
-0.028,0.008,1.371,343.811,199.219,21.851
0.353,-0.731,1.206,356.750,190.613,20.935
0.267,-0.737,1.184,364.807,185.852,14.160
-0.014,-0.447,1.293,346.191,173.096,24.292
-0.152,-0.232,1.453,336.060,150.085,44.556
-0.160,-0.111,1.463,341.003,130.066,66.040
-0.217,-0.035,1.355,344.604,124.878,81.482
-0.292,-0.020,1.214,337.708,145.996,83.496
-0.310,-0.025,1.087,328.491,191.528,81.543
-0.287,-0.030,0.959,323.181,242.615,82.764
-0.211,-0.032,0.789,328.247,278.564,87.830
-0.108,-0.000,0.650,335.571,288.147,98.328
0.017,0.037,0.562,342.041,269.287,109.131
0.112,0.076,0.516,344.666,229.980,113.220
0.129,0.089,0.528,345.093,185.669,107.300
0.082,0.079,0.497,348.999,156.799,97.717
0.041,0.051,0.376,353.821,147.156,91.125
